"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"1","AAPL","Apple Inc.","03783310","2046251",0.0651283457236914,"Information Technology",167692700,"USD"
"2","MSFT","Microsoft Corporation","59491810","2588173",0.052368079099876,"Information Technology",78934890,"USD"
"3","AMZN","Amazon.com Inc.","02313510","2000019",0.0434330682448367,"Consumer Discretionary",4443712,"USD"
"4","FB","Facebook Inc. Class A","30303M10","B7TL820",0.0219146544410814,"Communication Services",25093574,"USD"
"5","GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.0174692907255589,"Communication Services",3135991,"USD"
"6","GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.0171440455776041,"Communication Services",3064290,"USD"
"7","BRK.B","Berkshire Hathaway Inc. Class B","08467070","2073390",0.0148230361171526,"Financials",20688928,"USD"
"8","JNJ","Johnson & Johnson","47816010","2475833",0.0131844194193095,"Health Care",27478900,"USD"
"9","JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0120611425675433,"Financials",31821966,"USD"
"10","V","Visa Inc. Class A","92826C83","B2PZN04",0.0115130601898139,"Information Technology",17596982,"USD"
"11","PG","Procter & Gamble Company","74271810","2704407",0.0110964879804506,"Consumer Staples",25984236,"USD"
"12","UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.0106202611585928,"Health Care",9922006,"USD"
"13","NVDA","NVIDIA Corporation","67066G10","2379504",0.0105342745101051,"Information Technology",6442067,"USD"
"14","MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00963233477212458,"Information Technology",9219715,"USD"
"15","HD","Home Depot Inc.","43707610","2434209",0.00937583493955753,"Consumer Discretionary",11234959,"USD"
"16","DIS","Walt Disney Company","25468710","2270726",0.00919835121651606,"Communication Services",18868764,"USD"
"17","PYPL","PayPal Holdings Inc","70450Y10","BYW36M8",0.00831408284488557,"Information Technology",12251386,"USD"
"18","VZ","Verizon Communications Inc.","92343V10","2090571",0.00823933706554191,"Communication Services",43207664,"USD"
"19","PFE","Pfizer Inc.","71708110","2684703",0.00763047998871273,"Health Care",58022836,"USD"
"20","CMCSA","Comcast Corporation Class A","20030N10","2044545",0.00757225548679424,"Communication Services",47599416,"USD"
"21","ADBE","Adobe Inc.","00724F10","2008154",0.00752714199861933,"Information Technology",5008710,"USD"
"22","BAC","Bank of America Corp","06050510","2295677",0.00730330469151875,"Financials",79610970,"USD"
"23","NFLX","Netflix Inc.","64110L10","2857817",0.00726856200521424,"Communication Services",4602870,"USD"
