"","symbol","date","open","high","low","close","volume","adjusted"
"1","XLK",2020-01-02,92.5,93.389999,92.32,93.389999,13283500,92.444771
"2","XLK",2020-01-03,92.029999,92.980003,92.019997,92.339996,15011800,91.405396
"3","XLK",2020-01-06,91.419998,92.660004,91.25,92.559998,7815000,91.623169
"4","XLK",2020-01-07,92.720001,92.980003,92.379997,92.519997,7681800,91.583572
"5","XLK",2020-01-08,92.620003,93.919998,92.449997,93.510002,11627200,92.56356
"6","XLK",2020-01-09,94.370003,94.629997,93.889999,94.57,7777400,93.612823
"7","XLK",2020-01-10,94.980003,95.110001,94.190002,94.349998,7665300,93.39505
"8","XLK",2020-01-13,94.779999,95.639999,94.730003,95.529999,7762200,94.56311
"9","XLK",2020-01-14,95.650002,95.739998,94.93,95.080002,8067300,94.117668
"10","XLK",2020-01-15,95.139999,95.650002,94.870003,95.190002,7208500,94.226555
"11","XLK",2020-01-16,95.800003,96.489998,95.669998,96.470001,5771600,95.493599
"12","XLK",2020-01-17,96.919998,97.209999,96.400002,97.120003,10830500,96.137016
"13","XLK",2020-01-21,96.82,97.639999,96.800003,97.080002,8987500,96.09742
"14","XLK",2020-01-22,97.690002,98.110001,97.349998,97.43,7745800,96.443878
"15","XLK",2020-01-23,97.529999,97.970001,97.110001,97.889999,7478200,96.899223
"16","XLK",2020-01-24,98.610001,98.830002,97.089996,97.43,11808700,96.443878
"17","XLK",2020-01-27,95.160004,95.860001,94.709999,95.110001,17787300,94.147362
"18","XLK",2020-01-28,95.940002,97.190002,95.739998,96.93,15592200,95.948944
"19","XLK",2020-01-29,97.730003,97.870003,96.790001,97.18,10563300,96.196411
"20","XLK",2020-01-30,97.139999,98.110001,96.550003,98.019997,9966800,97.027901
"21","XLK",2020-01-31,97.449997,97.5,94.989998,95.330002,13482300,94.365143
"22","XLK",2020-02-03,95.440002,96.830002,95.330002,96.589996,12542800,95.612381
"23","XLK",2020-02-04,98.269997,99.330002,98.029999,99.120003,9548900,98.116776
